diagnosis_2,Benign,Indeterminate,Malignant,n
Benign - Other,100.0,0.0,0.0,8
Benign adnexal epithelial proliferations - Apocrine or Eccrine,100.0,0.0,0.0,1
Benign adnexal epithelial proliferations - Follicular,100.0,0.0,0.0,3
Benign adnexal epithelial proliferations - Sebaceous,100.0,0.0,0.0,2
Benign epidermal proliferations,100.0,0.0,0.0,545
Benign melanocytic proliferations,100.0,0.0,0.0,746
Benign soft tissue proliferations - Fibro-histiocytic,100.0,0.0,0.0,56
Benign soft tissue proliferations - Vascular,100.0,0.0,0.0,49
Collision - At least one malignant proliferation,0.0,0.0,100.0,9
Collision - Only benign proliferations,100.0,0.0,0.0,7
Cysts,100.0,0.0,0.0,2
Exogenous,100.0,0.0,0.0,6
Flat melanotic pigmentations - not melanocytic nevus,100.0,0.0,0.0,9
Indeterminate epidermal proliferations,0.0,100.0,0.0,123
Inflammatory or infectious diseases,100.0,0.0,0.0,47
Malignant adnexal epithelial proliferations - Follicular,0.0,0.0,100.0,2522
Malignant epidermal proliferations,0.0,0.0,100.0,653
Malignant melanocytic proliferations (Melanoma),0.0,0.0,100.0,450
Mast cell proliferations,100.0,0.0,0.0,2
(all),28.3,2.3,69.4,5240
